År,Resor,Resandetåg,Godståg,"Dan - Sve, tåg","Dan - Sve, tågvikt","Sve - Dan, tåg","Sve - Dan, tågvikt","Total, tåg","Total, tågvikt"
2000,2677000,15628,3072,10523,4271166,11219,5216180,21742,9487346
2001,4919000,54025,6626,31365,9826388,32400,11085625,63765,20912013
2002,5372000,53921,6137,30561,9468670,31686,11097682,62247,20566352
2003,5707000,50914,6650,28626,9155257,30223,10786817,58849,19942074
2004,6232000,49840,6738,28434,9139732,30006,10757893,58440,19897625
2005,6617000,47502,6954,27466,8941193,29100,10550029,56566,19491222
2006,7786000,47470,6850,27332,8894799,28944,10648294,56276,19543093
2007,9761000,46960,7212,28909,10557226,28801,11203056,57710,21760282
2008,10779000,48650,7071,29553,11200963,29700,11902812,59253,23103775
2009,11203573,55452,6565,32789,12058717,32919,12758544,65708,24817261
2010,10564079,54425,8800,33395,13408233.055908743,33561,13936327.227869006,66956,27344560.28377775
2011,10826347,60548,10481,36321,14889084.177729374,37217,15953309.307868082,73538,30842393.485597454
2012,11384810,57007,8619,33955,14076059.170511106,34442,15003118.126715295,68397,29079177.2972264
2013,11855498,56718,8820,34027,13799623.216989921,34337,14312009.506014785,68364,28111632.723004706
2014,11817303,55080,8332,33242,13842097.05147963,33587,14080334.357093846,66829,27922431.40857348
2015,12228605,57656,8486,34712,14440982.668717964,34969,14710836.795411974,69681,29151819.46412994
2016,11490122,50266,8952,30778,13940598.17469553,31115,14085331.109103635,61893,28025929.283799164
2017,11593664,52418,9092,31979,14701119.799088143,32374,14821460.432421612,64353,29522580.231509753
2018,11970328,55538,8745,33131,14793175.28850472,33687,15044117.667573046,66818,29837292.956077766
2019,12088503,53307,8556,32451,13781856.204530971,33308,14898082.040124381,65759,28679938.244655337
2020,4630000,41196.851454138705,7774.5592991913745,25944.787701317717,11650313.621716341,26040.624596629616,12987741.418110581,51985.44973736642,24637523.120432544
